Resume ID,Job Title,Number of Job Applied,
adadgw,Machinist,1,
adadao,Machinist,1,
adac9e,"Machinist,Machine Operator",2,
adac7w,Machinist,1,
adacw1,"Machinist,Machine Operator",2,
adacrc,Machinist,1,
adaco1,Machinist,1,
adacnp,"Machinist,Machine Operator",2,
adace0,"Machinist,Machine Operator",2,
adab0j,"Machinist,Machine Operator",2,
adabot,"Machinist,Machine Operator",2,
adaa8r,Machinist,1,
adaa0a,"Machinist,Machine Operator",2,
adaao8,Machinist,1,
adaaiv,"Machinist,Machine Operator",2,
ac994i,Machinist,1,
ac99l7,Machinist,1,
ac99gn,Machinist,1,
ac99fs,"Machinist,Machine Operator",2,
ac9845,Machinist,1,
ac98go,Machinist,1,
ac971j,Machinist,1,
ac97pt,"Machinist,Machine Operator",2,
ac9633,Machinist,1,
ac96wu,Machinist,1,
ac96k8,"Machinist,Machine Operator",2,
ac96kc,"Machinist,Machine Operator",2,
ac9541,"Machinist,Machine Operator",2,
ac952u,"Machinist,Machine Operator",2,
ac952l,"Machinist,Machine Operator",2,
ac9519,"Machinist,Machine Operator",2,
ac95zi,Machinist,1,
ac95q0,Machinist,1,
ac95j9,"Machinist,Machine Operator",2,
ac9483,Machinist,1,
ac945v,"Machinist,Machine Operator",2,
ac942s,"Machinist,Machine Operator",2,
ac94wg,Machinist,1,
ac94ly,Machinist,1,
ac94ax,"Machinist,Machine Operator",2,
ac938g,"Machinist,Machine Operator",2,
ac937d,"Machinist,Machine Operator,Technologist",3,
ac93ot,Machinist,1,
ac93ii,Machinist,1,
ac93gb,"Machinist,Machine Operator",2,
acvzbe,Machinist,1,
ac928l,Machinist,1,
ac923s,Machinist,1,
ac92rh,"Machinist,Machine Operator",2,
ac92qp,"Machinist,Machine Operator",2,
ac92ng,Machinist,1,
ac919s,Machinist,1,
ac919d,Machinist,1,
ac9171,Machinist,1,
ac91pn,Machinist,1,
ac91mm,"Machinist,Technologist",2,
ac91l7,"Machinist,Machine Operator",2,
ac91fn,"Machinist,Machine Operator",2,
ac90p6,"Machinist,Machine Operator",2,
ac90ee,"Machinist,Machine Operator",2,
ac90bi,"Machinist,Machine Operator",2,
ac9z80,"Machinist,Machine Operator",2,
ac9z6q,Machinist,1,
ac9zvd,"Machinist,Machine Operator",2,
ac9zuq,"Machinist,Machine Operator",2,
ac9zog,"Machinist,Machine Operator",2,
ac9zmj,"Machinist,Machine Operator",2,
ac9zc2,Machinist,1,
ac9y8t,"Machinist,Machine Operator",2,
ac9y7f,"Machinist,Machine Operator",2,
ac9yxy,"Machinist,Machine Operator",2,
ac9yuy,Machinist,1,
ac9yrc,Machinist,1,
ac9yi1,Machinist,1,
ac9ygs,"Machinist,Machine Operator",2,
ac9yf4,Machinist,1,
ac9ydr,Machinist,1,
ac9xj1,Machinist,1,
ac9xg1,Machinist,1,
ac9w8r,"Machinist,Machine Operator",2,
ac9w05,Machinist,1,
ac9w00,Machinist,1,
ac9wsm,Machinist,1,
ac9wik,Machinist,1,
ac9v7w,Machinist,1,
ac9v4a,Machinist,1,
ac9vxn,Machinist,1,
ac9vvb,Machinist,1,
ac9vp1,Machinist,1,
ac9vg6,Machinist,1,
ac9u47,Machinist,1,
ac9tva,Machinist,1,
ac9ts6,Machinist,1,
ac9tsc,Machinist,1,
ac9toe,Machinist,1,
ac9tia,Machinist,1,
ac9tac,Machinist,1,
ac9s84,Machinist,1,
ac9s6n,Machinist,1,
ac9sg1,Machinist,1,
ac9sfe,Machinist,1,
ac9r8j,Machinist,1,
ac9r5e,Machinist,1,
ac9rx4,Machinist,1,
ac9q75,Machinist,1,
ac9q70,Machinist,1,
ac9qu2,Machinist,1,
ac9qt3,Machinist,1,
ac9qc9,Machinist,1,
ac9p4d,"Machinist,Technologist",2,
ac9p37,Machinist,1,
ac9p2p,Machinist,1,
ac9pp7,Machinist,1,
ac9pbg,Machinist,1,
ac9n9s,Machinist,1,
ac9nxr,Machinist,1,
ac9ncx,Machinist,1,
ac9na0,Machinist,1,
ac9m7b,Machinist,1,
ac9m5e,Machinist,1,
ac9m11,Machinist,1,
ac9mqu,Machinist,1,
ac9mqi,Machinist,1,
ac9miw,Machinist,1,
ac9mcy,Machinist,1,
ac9l6s,Machinist,1,
ac9l50,Machinist,1,
ac9kud,Machinist,1,
ac9kts,Machinist,1,
ac9ktj,Machinist,1,
ac9jv9,Machinist,1,
ac9jp1,Machinist,1,
ac9jo1,Machinist,1,
ac9jea,Machinist,1,
ac9i2y,Machinist,1,
ac9irw,Machinist,1,
ac9irh,Machinist,1,
ac9h1u,Machinist,1,
ac9hzv,Machinist,1,
ac9hxh,Machinist,1,
ac9hqs,Machinist,1,
ac9hio,Machinist,1,
ac9hf0,Machinist,1,
ac9gmd,Machinist,1,
ac9gf8,Machinist,1,
ac9gf0,Machinist,1,
ac9f54,Machinist,1,
ac9eoa,Machinist,1,
ac9ejl,"Machinist,Technologist",2,
ac9dlx,Machinist,1,
ac9dgr,Machinist,1,
ac9daq,Machinist,1,
ac9cbs,Machinist,1,
ac9b8f,Machinist,1,
ac9b7y,Machinist,1,
ac9bwd,Machinist,1,
ac9bvr,Machinist,1,
ac9bkn,Machinist,1,
ac9ate,Machinist,1,
ac9aaf,Machinist,1,
ac898k,Machinist,1,
ac89sq,Machinist,1,
ac89sp,Machinist,1,
ac88zd,Machinist,1,
ac88tc,Machinist,1,
ac88rn,Machinist,1,
ac88he,Machinist,1,
ac88ar,Machinist,1,
ac878j,Machinist,1,
ac87ti,Machinist,1,
ac87rd,Machinist,1,
ac8695,Machinist,1,
ac8666,Machinist,1,
ac86cl,Machinist,1,
ac857u,Machinist,1,
ac85yx,Machinist,1,
ac85ui,Machinist,1,
ac843l,Machinist,1,
ac84mw,Machinist,1,
ac832d,Machinist,1,
ac83fv,Machinist,1,
ac83er,Machinist,1,
ac8249,Machinist,1,
ac82zb,Machinist,1,
ac82un,Machinist,1,
ac82ow,Machinist,1,
ac82ey,Machinist,1,
ac8178,Machinist,1,
ac81zo,Machinist,1,
ac81xj,Machinist,1,
ac81qf,Machinist,1,
ac81pf,Machinist,1,
ac81kh,Machinist,1,
ac803o,Machinist,1,
ac8zso,Machinist,1,
ac8zsb,Machinist,1,
ac8zre,Machinist,1,
ac8zky,Machinist,1,
ac8zia,Machinist,1,
ac8yow,Machinist,1,
ac8ylz,Machinist,1,
ac8ylx,Machinist,1,
ac8xt5,Machinist,1,
